distance_category,length,seed,algorithm,direct_distance,execution_time,operations,success,path_length
10-50,50,500072,Theta*,27.4591,0.010456,24,True,27.8536
10-50,50,500073,A*,40.1622,0.028982,2493,True,45.7272
10-50,50,500073,Dijkstra,40.1622,0.545879,51553,True,45.7272
10-50,50,500073,Breadth-First,40.1622,0.234806,36243,True,47.5337
10-50,50,500073,Theta*,40.1622,0.080319,1631,True,43.5811
10-50,50,500074,A*,23.5372,0.002617,132,True,25.4668
10-50,50,500074,Dijkstra,23.5372,0.424177,39176,True,25.4668
10-50,50,500074,Breadth-First,23.5372,0.160638,24267,True,25.4668
10-50,50,500074,Theta*,23.5372,0.009292,18,True,23.5372
10-50,50,500075,A*,42.0238,0.013364,899,True,46.7771
10-50,50,500075,Dijkstra,42.0238,0.77753,72996,True,46.7771
10-50,50,500075,Breadth-First,42.0238,0.421006,64117,True,51.3621
10-50,50,500075,Theta*,42.0238,0.014493,97,True,44.1488
10-50,50,500076,A*,21.0476,0.001085,44,True,22.6096
10-50,50,500076,Dijkstra,21.0476,0.319177,29349,True,22.6096
10-50,50,500076,Breadth-First,21.0476,0.130469,19744,True,23.4381
10-50,50,500076,Theta*,21.0476,0.008517,19,True,22.0613
10-50,50,500077,A*,48.0833,0.004021,196,True,51.799
10-50,50,500077,Dijkstra,48.0833,0.905109,84509,True,51.799
10-50,50,500077,Breadth-First,48.0833,0.601828,91609,True,53.0703
10-50,50,500077,Theta*,48.0833,0.013236,62,True,49.9884
10-50,50,500078,A*,32.3883,0.006488,380,True,35.5809
10-50,50,500078,Dijkstra,32.3883,0.741545,68747,True,35.5809
10-50,50,500078,Breadth-First,32.3883,0.357066,54106,True,35.5809
10-50,50,500078,Theta*,32.3883,0.01077,29,True,32.3883
10-50,50,500079,A*,34.3366,0.010311,647,True,38.2665
10-50,50,500079,Dijkstra,34.3366,0.665311,61645,True,38.2665
10-50,50,500079,Breadth-First,34.3366,0.309044,47141,True,38.2665
10-50,50,500079,Theta*,34.3366,0.011233,30,True,34.3366
10-50,50,500080,A*,18.0278,0.000728,36,True,18.4142
10-50,50,500080,Dijkstra,18.0278,0.198367,17968,True,18.4142
10-50,50,500080,Breadth-First,18.0278,0.182454,27720,True,18.4142
10-50,50,500080,Theta*,18.0278,0.008623,19,True,18.0278
10-50,50,500081,A*,22.3383,0.002394,158,True,25.5851
10-50,50,500081,Dijkstra,22.3383,0.219338,20710,True,25.5851
10-50,50,500081,Breadth-First,22.3383,0.122134,18939,True,27.1455
10-50,50,500081,Theta*,22.3383,0.009983,65,True,24.038
10-50,50,500082,A*,12.6886,0.001292,49,True,13.9747
10-50,50,500082,Dijkstra,12.6886,0.056654,5258,True,13.9747
10-50,50,500082,Breadth-First,12.6886,0.043958,6764,True,13.9747
10-50,50,500082,Theta*,12.6886,0.008296,13,True,12.6886
10-50,50,500083,A*,16.6733,0.00206,133,True,25.2672
10-50,50,500083,Dijkstra,16.6733,0.23979,22526,True,25.2672
10-50,50,500083,Breadth-First,16.6733,0.145085,22302,True,25.2672
10-50,50,500083,Theta*,16.6733,0.010095,70,True,23.7463
10-50,50,500084,A*,18.6815,0.044014,41,True,20.6104
10-50,50,500084,Dijkstra,18.6815,0.199655,18316,True,20.6104
10-50,50,500084,Breadth-First,18.6815,0.153515,23300,True,20.6104
10-50,50,500084,Theta*,18.6815,0.00862,19,True,19.7668
10-50,50,500085,A*,12.6491,0.00085,39,True,13.6569
10-50,50,500085,Dijkstra,12.6491,0.090027,8059,True,13.6569
10-50,50,500085,Breadth-First,12.6491,0.07347,11137,True,13.6569
10-50,50,500085,Theta*,12.6491,0.008496,13,True,12.6491
10-50,50,500086,A*,25.1992,0.005774,378,True,28.706
10-50,50,500086,Dijkstra,25.1992,0.434543,40125,True,28.706
10-50,50,500086,Breadth-First,25.1992,0.173002,26257,True,29.488
10-50,50,500086,Theta*,25.1992,0.012455,133,True,27.2186
10-50,50,500087,A*,18.412,0.001153,62,True,19.974
10-50,50,500087,Dijkstra,18.412,0.138619,13079,True,19.974
10-50,50,500087,Breadth-First,18.412,0.057705,9022,True,19.974
10-50,50,500087,Theta*,18.412,0.008902,33,True,19.1703
10-50,50,500088,A*,27.2213,0.049335,422,True,30.0703
10-50,50,500088,Dijkstra,27.2213,0.380915,35231,True,30.0703
10-50,50,500088,Breadth-First,27.2213,0.182964,27230,True,30.0703
10-50,50,500088,Theta*,27.2213,0.00911,24,True,27.2213
10-50,50,500089,A*,27.2947,0.00834,600,True,29.5877
10-50,50,500089,Dijkstra,27.2947,0.415874,38696,True,29.5877
10-50,50,500089,Breadth-First,27.2947,0.127186,19334,True,29.5877
10-50,50,500089,Theta*,27.2947,0.031862,460,True,28.9326
10-50,50,500090,A*,17.9165,0.001344,74,True,19.6315
10-50,50,500090,Dijkstra,17.9165,0.174514,16038,True,19.6315
10-50,50,500090,Breadth-First,17.9165,0.104659,15973,True,19.6315
10-50,50,500090,Theta*,17.9165,0.008774,17,True,17.9165
10-50,50,500091,A*,13.4536,0.000605,19,True,13.7279
10-50,50,500091,Dijkstra,13.4536,0.062833,5705,True,13.7279
10-50,50,500091,Breadth-First,13.4536,0.029567,4538,True,13.7279
10-50,50,500091,Theta*,13.4536,0.008249,11,True,13.4536
10-50,50,500092,A*,15.5563,0.000852,48,True,16.9747
10-50,50,500092,Dijkstra,15.5563,0.064471,5975,True,16.9747
10-50,50,500092,Breadth-First,15.5563,0.044954,6968,True,16.9747
10-50,50,500092,Theta*,15.5563,0.000793,29,True,16.2189
10-50,50,500093,A*,29.6816,0.010168,175,True,31.6274
10-50,50,500093,Dijkstra,29.6816,0.244863,23260,True,31.6274
10-50,50,500093,Breadth-First,29.6816,0.126598,19446,True,31.6274
10-50,50,500093,Theta*,29.6816,0.010558,27,True,29.8444
10-50,50,500094,A*,37.7094,0.188274,17710,True,47.5057
10-50,50,500094,Dijkstra,37.7094,0.732837,68381,True,47.5057
10-50,50,500094,Breadth-First,37.7094,0.330257,49997,True,48.9766
10-50,50,500094,Theta*,37.7094,0.301756,5880,True,43.0587
10-50,50,500095,A*,46.5081,0.009566,559,True,52.3663
10-50,50,500095,Dijkstra,46.5081,1.067717,100037,True,52.3663
10-50,50,500095,Breadth-First,46.5081,0.582091,87900,True,52.3663
10-50,50,500095,Theta*,46.5081,0.011808,42,True,47.5664
10-50,50,500096,A*,10.6301,0.000564,18,True,11.9282
10-50,50,500096,Dijkstra,10.6301,0.062036,5585,True,11.9282
10-50,50,500096,Breadth-First,10.6301,0.030579,4540,True,11.9282
10-50,50,500096,Theta*,10.6301,0.008723,10,True,10.6301
10-50,50,500097,A*,29.0689,0.005427,303,True,33.8311
10-50,50,500097,Dijkstra,29.0689,0.606686,56677,True,33.8311
10-50,50,500097,Breadth-First,29.0689,0.29262,44019,True,38.073
10-50,50,500097,Theta*,29.0689,0.012002,137,True,30.9503
10-50,50,500098,A*,10.7238,0.000873,36,True,12.0246
10-50,50,500098,Dijkstra,10.7238,0.042818,3549,True,12.0246
10-50,50,500098,Breadth-First,10.7238,0.021072,3098,True,12.0246
10-50,50,500098,Theta*,10.7238,0.008996,10,True,10.7238
10-50,50,500099,A*,31.7175,0.005615,328,True,34.4388
10-50,50,500099,Dijkstra,31.7175,0.613665,56613,True,34.4388
10-50,50,500099,Breadth-First,31.7175,0.391213,58868,True,34.4388
10-50,50,500099,Theta*,31.7175,0.010629,34,True,31.7175
50-100,100,510000,A*,63.7966,0.007321,441,True,69.5043
50-100,100,510000,Dijkstra,63.7966,2.02148,186464,True,69.5043
50-100,100,510000,Breadth-First,63.7966,1.130946,150147,True,69.5043
50-100,100,510000,Theta*,63.7966,0.029187,84,True,65.6044
50-100,100,510001,A*,67.0671,0.155244,13228,True,77.358
50-100,100,510001,Dijkstra,67.0671,1.866768,172783,True,77.358
